port_code,port_name,state,year,month,mode,count
2304.0,Laredo,Texas,2023,9,Pedestrian,228826.0
2606.0,Sasabe,Arizona,2023,6,Personal Vehicle,4163.0
2506.0,Otay Mesa,California,2023,2,Pedestrian,195107.0
2305.0,Hidalgo,Texas,2023,5,Personal Vehicle,714274.0
2307.0,Rio Grande City,Texas,2023,8,Personal Vehicle,72674.0
2603.0,Naco,Arizona,2023,1,Personal Vehicle,47595.0
2401.0,Ysleta,Texas,2023,2,Truck,56522.0
2602.0,Lukeville,Arizona,2023,6,Pedestrian,5531.0
2401.0,Ysleta,Texas,2023,11,Truck,54194.0
2303.0,Eagle Pass,Texas,2023,1,Personal Vehicle,510460.0
2603.0,Naco,Arizona,2023,1,Pedestrian,6188.0
2406.0,Columbus,New Mexico,2023,3,Bus,674.0
2310.0,Roma,Texas,2023,10,Pedestrian,17153.0
2403.0,Presidio,Texas,2023,7,Pedestrian,29919.0
2602.0,Lukeville,Arizona,2023,2,Bus,361.0
2604.0,Nogales,Arizona,2023,2,Personal Vehicle,527036.0
2403.0,Presidio,Texas,2023,2,Personal Vehicle,95937.0
2403.0,Presidio,Texas,2023,5,Bus,165.0
2502.0,Andrade,California,2023,8,Personal Vehicle,86804.0
2309.0,Progreso,Texas,2023,5,Pedestrian,80696.0
2507.0,Calexico East,California,2023,2,Personal Vehicle,385294.0
2582.0,Cross Border Xpress,California,2023,11,Pedestrian,178180.0
2604.0,Nogales,Arizona,2023,11,Bus,14391.0
2403.0,Presidio,Texas,2023,12,Pedestrian,25612.0
2309.0,Progreso,Texas,2023,1,Pedestrian,118364.0
2403.0,Presidio,Texas,2023,2,Bus,143.0
2506.0,Otay Mesa,California,2023,3,Truck,89722.0
2507.0,Calexico East,California,2023,11,Truck,37447.0
2608.0,San Luis,Arizona,2023,4,Pedestrian,184365.0
2310.0,Roma,Texas,2023,6,Pedestrian,13281.0
2406.0,Columbus,New Mexico,2023,9,Truck,1804.0
2608.0,San Luis,Arizona,2023,9,Bus,8.0
2502.0,Andrade,California,2023,8,Pedestrian,28586.0
2402.0,El Paso,Texas,2023,11,Personal Vehicle,1168217.0
2403.0,Presidio,Texas,2023,6,Personal Vehicle,116688.0
2604.0,Nogales,Arizona,2023,2,Bus,13039.0
2603.0,Naco,Arizona,2023,11,Truck,225.0
2310.0,Roma,Texas,2023,2,Bus,290.0
2608.0,San Luis,Arizona,2023,10,Bus,3.0
2304.0,Laredo,Texas,2023,11,Pedestrian,238164.0
2307.0,Rio Grande City,Texas,2023,11,Truck,3327.0
2303.0,Eagle Pass,Texas,2023,6,Personal Vehicle,479442.0
